Image Path,Label
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10118481.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10120469.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10131352.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10161559.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_1021836.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10269675.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10278738.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10290703.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10295477.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10315441.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10316849.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10333072.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10334355.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10345473.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10422050.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10485618.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10503476.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10524198.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10539399.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10592361.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10595751.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10608067.jpg,angry
C:\Users\singh\OneDrive\Documents\Projects\Emotional detection\train\angry\Training_10740356.jpg,angry
